Autor/a (atribución tradicional),Atribución actual,Obra,Temporada,Compañía,Adaptador / Dramaturgismo / Traductor,Fecha de estreno,Festivales,Sinopsis,Web Oficial,Dirección,Escenografía,Reparto,Iluminación,Música y sonido,Video escena,Vestuario,Movimiento,Producción,Lugar de estreno,
Lope de Vega,,"Arte nuevo de hacer teatro para jóvenes de nuestro tiempo; Eco y Narciso; Valor, agravio y mujer; Fuenteovejuna",2021,"Joven Compañía Nacional de Teatro Clásico, JCNTC",Mariano Estudillo,4 de marzo de 2021,"Festival de Teatro Clásico de Almagro
","LaCNTC  ha decidido acercar tres textos del Siglo de Oro a diversos centros educativos. Teatro para jóvenes hecho por jóvenes.

Arte nuevo de hacer teatro para jóvenes de nuestro tiempo es un proyecto liderado por jóvenes creadores escénicos para construir una mirada fresca, cómplice, actual y profunda sobre los textos del Siglo de Oro.

Los textos seleccionados son: Eco y Narciso, de Calderón de la Barca, a través del cual se tratarán temas vinculados a la adolescencia: ¿Qué me pasa? ¿Quién soy? ¿Cómo hablar de mí con los demás?
Valor, agravio y mujer, de Ana Caro, una de las pocas dramaturgas conocidas del teatro áureo, nos va a permitir hablar de feminismo, de poder y de cómo afrontar las injusticias.

Y finalmente Fuenteovejuna, de Lope de Vega, una obra fascinante para tratar el acuerdo, el disentimiento, el abuso de poder, el mundo rural o la inmigración. Distintos textos que se fusionarán en un único montaje, para ofecer una mirada divergente a través de su puesta en escena y de sus mútiples interpretaciones.",https://teatroclasico.mcu.es/2020/09/09/arte-nuevo/,Mariano Estudillo,,"Mariano Estudillo, Anna Maruny, Aisa Pérez, Alba Recondo, Fernando Trujillo y José Luis Verguizas.",Álvaro Guisado Garavito,,Yolanda de la Hoz,,,"Joven Compañía Nacional de Teatro Clásico, JCNTC",sala Tirso de Molina del Teatro de la Comedia de Madrid,
Lope de Vega,,Peribáñez y el comendador de Ocaña,2020,Dragoi Zuria,Julio Hidalgo,15 de septiembre de 2020,,,https://www.vistateatral.com/2020/09/teatro-peribanez-y-el-comendador-de.html,del Colectivo,,"Manuela Morales, Raúl Pulido, Julio Hidalgo, Borja Floü, Pablo Sanz, Elisabet Altube y Sara Sánchez.",,Borja Floü,,Pablo Porcel,,Dragoi Zuria,,
Lope de Vega,,"Ni come, ni deja comer",2020,Asociación Cultural Teatral A Escena,Rafael Negrete-Portillo,18 de julio de 2020,"Festival de Teatro Clásico de Almagro
","La GANGARILLA no ha hecho más que llegar a Villaproscenio cuando Carolus descubre que los textos teatrales están desapareciendo y se están quedando EN BLANCO. ¡Se está cumpliendo la profecía! Y hay que hacer algo para pararla. La solución sería hacer un texto clásico para que el teatro vuelva a renacer, pero el único texto que les queda es “EL PERRO DEL HORTELANO” y éste también se está borrando. No hay que esperar más y deben ponerse manos a la obra…

¿Conseguirán salvar el teatro clásico?

Para hacerlo, Misha (una gata), Rufus (un perro), Carolus (un primer actor un tanto despistado), Rabelín (una directora y primera actriz un tanto chillona) y la Señora Alcaldesa de Villaproscenio (que en el colegio había hecho teatro de pequeña) se tendrán que poner manos a la obra y con la ayuda del público representar “EL PERRO DEL HORTELANO”.",https://www.festivaldealmagro.com/programa/ni-come-ni-deja-comer/,José Luis Pineda Ortega,Lara Carrasco,"Joaquín Serrano, Rosa Ruiz, Maribel Peñalver, Toñi Jiménez y Paula Ramírez.",Araceli Flores,,Videoluc TV,Isabel Alba,,Asociación Cultural Teatral A Escena,"Dentro de la programación de Barroco Infantil Online del Festival de Teatro Clásico de Almagro
",
Lope de Vega,,Mujeres del Siglo de Oro,2020,????????????,,,,,,,,,,,,,,,,
Lope de Vega,,La selva sin amor,2020,La Máquina Real,Sergio Adillo,18 de julio de 2020,"Festival de Teatro Clásico de Almagro
","La selva sin amor, es el nuevo reto al que nos enfrentamos, obra escrita por Lope de Vega en 1627, ya en su último ciclo vital y alejado de la escritura de comedias comerciales para los corrales, usa en esta ocasión la égloga pastoral compuesta en silva. En ella podemos ver como el estilo de Lope ha cambiado, y ahora se centra en el teatro cortesano buscando el reconocimiento de la nobleza y el puesto de cronista real, que nunca alcanzará. ",https://lamaquinareal.com/espectaculos/la-selva-sin-amor/,Jesús Caballero,"Jonathan Morales, Elvira Bustamante, Guillermo Román, Mónica Monreal y el Colectivo.","Alberto Campanero, Carlos G.ª Cuéllar, Francesco Cama, Teresa Muñoz Frías y Blanca Agudo",Edipo,Carlos G.ª Cuéllar,,Mercedes Campos y Gloria Santolaria.,,La Máquina Real,Palacio de los Oviedo de Almagro,
Lope de Vega,,La discreta enamorada,2020,Corrales de Comedias Teatro S.L,Ernesto de Diego,19 de julio de 2020,"Festival de Teatro Clásico de Almagro
","En La discreta enamorada (1604-1608?), Lope vuelve a impartir cátedra. La acción pródiga en enredos y lúdicas complicaciones, la aparición de personajes humanamente entrañables, el mundo de las apariencias equívocas, el amor confesado desde el primer momento, y … la dama enamorada que defiende con sutilezas y argucias el derecho a las relaciones afectivas que las presiones del entorno pretenden negarle.

Nadie ha descrito con más verdad e ingenio la ternura y constancia del corazón de una mujer en las situaciones más difíciles de la vida y la disposición de hacer los mayores sacrificios por el objeto que aman: la mujer que se resiste a ir cabizbaja por la calle sin mirar y ser mirada, la que se enfrenta a la rígida pirámide social, la dama despierta y avispada dentro de su inocencia y sencillez, que maneja el enredo y pone todo su ingenio y artimañas para atraer a su amado y burlar los controles sociales.",https://www.festivaldealmagro.com/programa/la-discreta-enamorada/,Javier Mañón,Javier Ruiz de Alegría,"Covadonga Calderón, Antonio León, Elena Alcaide, Ángel Mauri, Javier Mejía, Rocío Sobrino y Vicente Nové",Jacinto Díaz,,,Ana Serrano,,Corrales de Comedias Teatro S.L,Palacio de los Oviedo de Almagro,
Lope de Vega,,El discreto enamorao,2020,Las monstruas,Andrea Martínez e Inés Muñoz,29 de enero de 2020,"Ciclo Clásicos en Enero, Murcia","“El discreto enamorao” es una adaptación de la obra “La discreta enamorada” de Lope de Vega.

 

La acción sucede en un descampado en Madrid en la década de los 80.

 

Queríamos trasladar el argumento de este clásico de Lope a una época más cercana y el ambiente ochentero nos atrajo tanto por su estética como por el contexto histórico.

 

En esta propuesta ya no es “la discreta” sino “el discreto”. Ya no se trata de galanes, damas y criados, sino de un grupo de amigos que se juntan en un descampado al que llaman “El Prado”, el escenario donde se hacen y deshacen los líos de unos y otros. Gerardo es un macarra que está flipado, Lucinda una moderna que va de chula pero es más ñoña de lo que quiere reconocer, Feniso es un pijeras torpe e inexperto, Doristea, bajo su apariencia de santurrona, las mata callando, y Hernanda pasa de todo, solo quiere emborracharse y pasárselo bien. Si bien existen algunas referencias a Belisa y Bernardo, eludiendo a los personajes de los padres y sus tramas hemos concentrado el enredo para que sucediera entre los cinco jóvenes.

​

Películas como Laberinto de pasiones, de Pedro Almodóvar, la música de Alaska o las viñetas de Ceesepe han sido referencias fundamentales en el proceso.

​

Nuestra apuesta con esta pieza es, respetando los principios de versificación pero actualizándolo al lenguaje de La Movida, ofrecer una versión actualizada, dinámica, divertida, llena de música, plumas y mamarracheo, en la que el público actual, tanto joven como adulto, pueda sentirse reflejado y disfrutarlo.

​

Este proyecto es fruto de la investigación y el trabajo llevados a cabo en una residencia artística en el Centro Puertas de Castilla de septiembre de 2019 a enero de 2020, aunque la semilla de la idea proviene de una etapa anterior, en el contexto de la Escuela Superior de Arte Dramático de Murcia, donde trabajamos en la puesta en escena de un fragmento del

segundo acto.",https://cialasmonstruas.wixsite.com/lasmonstruas/el-discreto-enamorao-2020,Inés Muñoz,afa N. Fructuoso,"Claudia Garón, Daniel V, Carillo, José Ortuño, Andrea Martínez, Sara Ruiz Ferrer, Aurora Briz y Yorko Alexander",Inés Muñoz,Old Coin,,Estella Román,Clara Gómez,Las Monstruas,Teatro Circo Murcia,
Lope de Vega,,Castelvines y Monteses,2020,Barco Pirata; Compañía Nacional de Teatro Clásico.CNTC,ergio Peris-Mencheta y José Carlos Menéndez.,16 de octubre de 2020,,"Castelvines y Monteses es una Fiesta del Teatro. Es poner el verso de Lope, la historia de Bandello, el juego de la versión de Rojas Zorrilla, el vuelo de Shakespeare y la acidez de Quevedo al servicio de un espectáculo lleno de humor, juego, música, magia, acrobacia, clown, baile…. 13 actrices y actores que abrazan los versos de Lope de Vega y se enamoran y enamoran con su talento actoral, su dominio del cuerpo, del canto y de los instrumentos con los que ambientan en tiempo real los devenires de Julia y Roselo, Celia y Marín, Dorotea y Anselmo…

A diferencia de Shakespeare, Lope escribe una comedia con la historia de los amantes de Verona. Eso unido al verso lopesco nos animó desde el principio a hacer un espectáculo musical, en la línea de Lehman Trilogy, donde las actrices y actores son además músicos, cantantes y cuerpo de baile que se desdoblan en múltiples personajes en una escenografía orgánica en constante movimiento. Una escenografía a primera vista sencilla, pero camaleónica y sobre todo llena de magia, que funciona como una caja de sorpresas constantes.",https://barcopirata.org/castelvines-y-monteses,Sergio Peris-Mencheta,Curt Allen Wilmer (AAPEE) con estudioDedos.,"Aitor Beltrán, Andreas Muñoz, Xoel Fernández, Paula Iwasaki, Óscar Martínez, Xabi Murua, Natxo Núñez, María Pascual, Gonzalo Ramos, Julia Roch, Cintia Rosado, Ignacio Rengel y Almudena Salort",Valentín Álvarez (AAI),oan Miquel Pérez y Ferran González,,,,Barco Pirata; Compañía Nacional de Teatro Clásico.CNTC,Logroño,
Lope de Vega,,Todas las guerras,2019,"Joven Compañía Nacional de Teatro Clásico, JCNTC",,,,,,,,,,,,,,,,
Lope de Vega,,María Estuardo. Corona trágica,2019,Compañía Manuel Canseco,Manuel Canseco,27 de julio de 2019,"Festival de Teatro Clásico de Almagro
","En la dramatización que presentamos nos hemos movido con plena libertad por entre los versos de Lope, siempre complicados y difíciles por su única forma estrófica (octavas reales) y por la compleja vida de la protagonista. Para dar a conocer sus versos me he valido de la inclusión de dos personajes que pudieran haber pertenecido a la vida cotidiana de Lope (un amanuense y una criada respondona) que, junto con la figura de la protagonista de la historia, permitieran unos cambios de versificación y la interrupción del relato lopesco que le dieran más variedad ante el posible espectador y, a la vez, valoraran de esta manera los bellos versos de Lope.

Ello, además, me ha permitido jugar con pocos medios humanos, tal como desgraciadamente exige el teatro en estos momentos, para ilustrar distintos personajes que debieran aparecer en el relato y que, mediante un sencillo juego teatral, se ven abocados a representar estos dos actores en un intento de dar aún más frescura a la pieza.",http://www.almagro.es/cultura/noticia/manuel-canseco-estrena-su-montaje-numero-100-en-almagro,Manuel Canseco,Paloma Canseco,"Alejandra Torray, Ángel Amorós, Juan C. Talavera y Cristina Juan",Pedro Yagüe y Manuel Canseco,,,José Miguel Ligero,,Compañía Manuel Canseco,"Almagro, Ciudad Real",
Lope de Vega,,Los locos de Valencia,2019,"Compañía Profesional de la Escuela Nacional de Arte Teatral, INBAL",Antonio Algarra,15 de febrero de 2019,,"Historia de amor, celos, astucia y mucha locura, en la que Floriano y Erífila, creyéndose locos, se enamoran en el sanatorio donde están internados y viven diversos enredos carnavalescos.",https://www.cenart.gob.mx/2019/01/los-locos-de-valencia/,Antonio Algarra,Isabel Becerril,"Miguel Jiménez, Patricia Loranca, Abraham Villafaña González, Daniela Miranda, Holil Heredia, Daniela Plaza Gómez, Carlos Herrera, Sergio Carazo Cardona, Ange Fragoso Mendoza, Bruno Sánchez, Miguel Ángel López, Luiz Ricart, Fernando Moctezuma, Pablo Ramírez, Eduardo Arriola y Alfonso García
",Isabel Becerril,Alberto Rosas,,Serio Mirón,Evelia Kochen,"Compañía Profesional de la Escuela Nacional de Arte Teatral, INBAL","La Corrala del Mitote, México",
Lope de Vega,,La viuda valenciana,2019,Mic Producciones Teatrales,Borja Rodríguez,12 de julio de 2019,"Festival de Teatro Clásico de Almagro
","Esta pieza es tan sorprendente como revolucionaria; Lope nos habla de la decisión de la mujer sobre su propio deseo. Y no solo es audaz en contenido, sino que ofrece una multitud de prismas y referentes para su puesta en escena. Es divertida, elocuente, intrigante, poblada de acción y de palabra viva, de lucha constante, con un ramillete de personajes que nos ofrecen multitud de colores, dentro de un carnaval cautivo a orillas del mar que es puro teatro.",https://www.micproducciones.com/la-viuda-valenciana,Borja Rodríguez,Juan Sebastián Domínguez,"Pepa Gracia, Arantxa Aranguren, Alfredo Noval, Rafael Núñez, Alberto Gómez Taboada, Agustín Otón y María Cobos",Juanjo Llorens,Alberto Centella,,Yeray González,Fredeswinda Gijón,Mic Producciones Teatrales,Palacio de los Oviedo de Almagro (Ciudad Real),
Lope de Vega,,La dama boba,2019,Clásicos on the Road,Antonio Alcalde,8 de julio de 2019,"Festival de Teatro Clásico de Almagro
",,,Antonio Alcalde,Agustín Fructuoso,"Beatriz Morandeira, Isabel Mata, Antonio Alcalde, Jairo Martínez del Hoyo, Casimiro Aguza, Manuel Peñalva y Bernardo Riaza",Iolanda Rubio,,,Isabel Mata y Mirabel Arenas,,Clásicos on the Road,Ermita de la Magdalena de Almagro (Ciudad Real),
Lope de Vega,,La dama boba,2019,Olympia Metropolitana S.A,Victoria Savelieva,26 de mayo de 2019,,,,Victoria Savelieva,,"Pilu Fontán, Rossana del Carpio, Alberto Baños y José Olmos, Regina Fuentes, Patricia García y Sabrina Pacucci.",,"Regina Fuentes, Patricia García y Sabrina Pacucci",,,"María José Soler. Intérpretes: Pilu Fontán, Rossana del Carpio, Alberto Baños y José Olmos",Olympia Metropolitana S.A,"TAC Catarroja, Valencia",
Lope de Vega,,"Fuenteovejuna o el coraje de las mujeres; Fuenteovejuna, el valor de las mujeres",2019,Alma Production,José Gabriel López Antuñano,12 de julio de 2019,"Festival de Teatro Clásico de Almagro
",,,Vagba Oboud de Sales y Luis Marqués,,"Gehi Eve, Gaury Jean, Kone Yah Kasemla, Brou Simeon, Brou Samuel, Kompaore Rebecca, Kouakou Philipe y Achie Amanda",,,,,,Alma Production,Patio de Fúcares de Almagro (Ciudad Real),
